timestamp,zone,visitor_count
2026-06-11 12:03:34,FoodCourt,60
2026-06-11 12:03:34,FashionArea,96
2026-06-11 12:03:34,Cinema,27
2026-06-11 12:04:34,FoodCourt,264
2026-06-11 12:04:34,FashionArea,321
2026-06-11 12:04:34,Cinema,278
2026-06-11 12:05:34,FoodCourt,218
2026-06-11 12:05:34,FashionArea,413
2026-06-11 12:05:34,Cinema,146
2026-06-11 12:06:34,FoodCourt,490
2026-06-11 12:06:34,FashionArea,28
2026-06-11 12:06:34,Cinema,112
2026-06-11 12:07:34,FoodCourt,420
2026-06-11 12:07:34,FashionArea,111
2026-06-11 12:07:34,Cinema,345
2026-06-11 12:08:34,FoodCourt,259
2026-06-11 12:08:34,FashionArea,137
2026-06-11 12:08:34,Cinema,449
2026-06-11 12:09:34,FoodCourt,422
2026-06-11 12:09:34,FashionArea,242
2026-06-11 12:09:34,Cinema,334
2026-06-11 12:10:34,FoodCourt,67
2026-06-11 12:10:34,FashionArea,116
2026-06-11 12:10:34,Cinema,277
2026-06-11 12:11:34,FoodCourt,432
2026-06-11 12:11:34,FashionArea,227
2026-06-11 12:11:34,Cinema,68
2026-06-11 12:12:34,FoodCourt,124
2026-06-11 12:12:34,FashionArea,471
2026-06-11 12:12:34,Cinema,109
2026-06-11 12:13:34,FoodCourt,151
2026-06-11 12:13:34,FashionArea,407
2026-06-11 12:13:34,Cinema,60
2026-06-11 12:14:34,FoodCourt,442
2026-06-11 12:14:34,FashionArea,465
2026-06-11 12:14:34,Cinema,319
2026-06-11 12:15:34,FoodCourt,332
2026-06-11 12:15:34,FashionArea,475
2026-06-11 12:15:34,Cinema,401
2026-06-11 12:16:34,FoodCourt,191
2026-06-11 12:16:34,FashionArea,244
2026-06-11 12:16:34,Cinema,29
2026-06-11 12:17:34,FoodCourt,217
2026-06-11 12:17:34,FashionArea,152
2026-06-11 12:17:34,Cinema,467
2026-06-11 12:18:34,FoodCourt,16
2026-06-11 12:18:34,FashionArea,308
2026-06-11 12:18:34,Cinema,304
2026-06-11 12:19:34,FoodCourt,389
2026-06-11 12:19:34,FashionArea,386
2026-06-11 12:19:34,Cinema,470
2026-06-11 12:20:34,FoodCourt,248
2026-06-11 12:20:34,FashionArea,235
2026-06-11 12:20:34,Cinema,256
2026-06-11 12:21:34,FoodCourt,343
2026-06-11 12:21:34,FashionArea,339
2026-06-11 12:21:34,Cinema,498
2026-06-11 12:22:34,FoodCourt,347
2026-06-11 12:22:34,FashionArea,343
2026-06-11 12:22:34,Cinema,115
2026-06-11 12:23:34,FoodCourt,318
2026-06-11 12:23:34,FashionArea,320
2026-06-11 12:23:34,Cinema,262
2026-06-11 12:24:34,FoodCourt,129
2026-06-11 12:24:34,FashionArea,228
2026-06-11 12:24:34,Cinema,276
2026-06-11 12:25:34,FoodCourt,124
2026-06-11 12:25:34,FashionArea,257
2026-06-11 12:25:34,Cinema,61
2026-06-11 12:26:34,FoodCourt,201
2026-06-11 12:26:34,FashionArea,481
2026-06-11 12:26:34,Cinema,118
2026-06-11 12:27:34,FoodCourt,315
2026-06-11 12:27:34,FashionArea,202
2026-06-11 12:27:34,Cinema,59
2026-06-11 12:28:34,FoodCourt,73
2026-06-11 12:28:34,FashionArea,394
2026-06-11 12:28:34,Cinema,453
2026-06-11 12:29:34,FoodCourt,48
2026-06-11 12:29:34,FashionArea,267
2026-06-11 12:29:34,Cinema,93
2026-06-11 12:30:34,FoodCourt,348
2026-06-11 12:30:34,FashionArea,148
2026-06-11 12:30:34,Cinema,119
2026-06-11 12:31:34,FoodCourt,370
2026-06-11 12:31:34,FashionArea,493
2026-06-11 12:31:34,Cinema,444
2026-06-11 12:32:34,FoodCourt,468
2026-06-11 12:32:34,FashionArea,252
2026-06-11 12:32:34,Cinema,487
2026-06-11 12:33:34,FoodCourt,348
2026-06-11 12:33:34,FashionArea,290
2026-06-11 12:33:34,Cinema,350
2026-06-11 12:34:34,FoodCourt,130
2026-06-11 12:34:34,FashionArea,348
2026-06-11 12:34:34,Cinema,236
2026-06-11 12:35:34,FoodCourt,229
2026-06-11 12:35:34,FashionArea,225
2026-06-11 12:35:34,Cinema,419
2026-06-11 12:36:34,FoodCourt,239
2026-06-11 12:36:34,FashionArea,216
2026-06-11 12:36:34,Cinema,130
2026-06-11 12:37:34,FoodCourt,193
2026-06-11 12:37:34,FashionArea,266
2026-06-11 12:37:34,Cinema,270
2026-06-11 12:38:34,FoodCourt,243
2026-06-11 12:38:34,FashionArea,496
2026-06-11 12:38:34,Cinema,131
2026-06-11 12:39:34,FoodCourt,84
2026-06-11 12:39:34,FashionArea,442
2026-06-11 12:39:34,Cinema,485
2026-06-11 12:40:34,FoodCourt,147
2026-06-11 12:40:34,FashionArea,68
2026-06-11 12:40:34,Cinema,402
2026-06-11 12:41:34,FoodCourt,362
2026-06-11 12:41:34,FashionArea,421
2026-06-11 12:41:34,Cinema,441
2026-06-11 12:42:34,FoodCourt,318
2026-06-11 12:42:34,FashionArea,58
2026-06-11 12:42:34,Cinema,254
2026-06-11 12:43:34,FoodCourt,334
2026-06-11 12:43:34,FashionArea,291
2026-06-11 12:43:34,Cinema,270
2026-06-11 12:44:34,FoodCourt,93
2026-06-11 12:44:34,FashionArea,390
2026-06-11 12:44:34,Cinema,236
2026-06-11 12:45:34,FoodCourt,480
2026-06-11 12:45:34,FashionArea,207
2026-06-11 12:45:34,Cinema,130
2026-06-11 12:46:34,FoodCourt,235
2026-06-11 12:46:34,FashionArea,79
2026-06-11 12:46:34,Cinema,52
2026-06-11 12:47:34,FoodCourt,230
2026-06-11 12:47:34,FashionArea,85
2026-06-11 12:47:34,Cinema,52
2026-06-11 12:48:34,FoodCourt,476
2026-06-11 12:48:34,FashionArea,165
2026-06-11 12:48:34,Cinema,437
2026-06-11 12:49:34,FoodCourt,52
2026-06-11 12:49:34,FashionArea,23
2026-06-11 12:49:34,Cinema,306
2026-06-11 12:50:34,FoodCourt,88
2026-06-11 12:50:34,FashionArea,393
2026-06-11 12:50:34,Cinema,149
2026-06-11 12:51:34,FoodCourt,89
2026-06-11 12:51:34,FashionArea,115
2026-06-11 12:51:34,Cinema,62
2026-06-11 12:52:34,FoodCourt,487
2026-06-11 12:52:34,FashionArea,214
2026-06-11 12:52:34,Cinema,72
2026-06-11 12:53:34,FoodCourt,76
2026-06-11 12:53:34,FashionArea,274
2026-06-11 12:53:34,Cinema,360
2026-06-11 12:54:34,FoodCourt,326
2026-06-11 12:54:34,FashionArea,152
2026-06-11 12:54:34,Cinema,257
2026-06-11 12:55:34,FoodCourt,325
2026-06-11 12:55:34,FashionArea,421
2026-06-11 12:55:34,Cinema,315
2026-06-11 12:56:34,FoodCourt,266
2026-06-11 12:56:34,FashionArea,67
2026-06-11 12:56:34,Cinema,237
2026-06-11 12:57:34,FoodCourt,355
2026-06-11 12:57:34,FashionArea,498
2026-06-11 12:57:34,Cinema,305
2026-06-11 12:58:34,FoodCourt,353
2026-06-11 12:58:34,FashionArea,326
2026-06-11 12:58:34,Cinema,342
2026-06-11 12:59:34,FoodCourt,381
2026-06-11 12:59:34,FashionArea,498
2026-06-11 12:59:34,Cinema,65
2026-06-11 13:00:34,FoodCourt,369
2026-06-11 13:00:34,FashionArea,27
2026-06-11 13:00:34,Cinema,58
2026-06-11 13:01:34,FoodCourt,467
2026-06-11 13:01:34,FashionArea,471
2026-06-11 13:01:34,Cinema,210
2026-06-11 13:02:34,FoodCourt,424
2026-06-11 13:02:34,FashionArea,289
2026-06-11 13:02:34,Cinema,27
2026-06-11 13:03:34,FoodCourt,70
2026-06-11 13:03:34,FashionArea,415
2026-06-11 13:03:34,Cinema,80
2026-06-11 13:04:34,FoodCourt,51
2026-06-11 13:04:34,FashionArea,24
2026-06-11 13:04:34,Cinema,342
2026-06-11 13:05:34,FoodCourt,142
2026-06-11 13:05:34,FashionArea,337
2026-06-11 13:05:34,Cinema,86
2026-06-11 13:06:34,FoodCourt,68
2026-06-11 13:06:34,FashionArea,236
2026-06-11 13:06:34,Cinema,479
2026-06-11 13:07:34,FoodCourt,495
2026-06-11 13:07:34,FashionArea,309
2026-06-11 13:07:34,Cinema,19
2026-06-11 13:08:34,FoodCourt,166
2026-06-11 13:08:34,FashionArea,161
2026-06-11 13:08:34,Cinema,14
2026-06-11 13:09:34,FoodCourt,497
2026-06-11 13:09:34,FashionArea,370
2026-06-11 13:09:34,Cinema,117
2026-06-11 13:10:34,FoodCourt,104
2026-06-11 13:10:34,FashionArea,463
2026-06-11 13:10:34,Cinema,229
2026-06-11 13:11:34,FoodCourt,142
2026-06-11 13:11:34,FashionArea,280
2026-06-11 13:11:34,Cinema,268
2026-06-11 13:12:34,FoodCourt,332
2026-06-11 13:12:34,FashionArea,98
2026-06-11 13:12:34,Cinema,250
2026-06-11 13:13:34,FoodCourt,341
2026-06-11 13:13:34,FashionArea,230
2026-06-11 13:13:34,Cinema,318
2026-06-11 13:14:34,FoodCourt,411
2026-06-11 13:14:34,FashionArea,246
2026-06-11 13:14:34,Cinema,174
2026-06-11 13:15:34,FoodCourt,197
2026-06-11 13:15:34,FashionArea,97
2026-06-11 13:15:34,Cinema,327
2026-06-11 13:16:34,FoodCourt,324
2026-06-11 13:16:34,FashionArea,384
2026-06-11 13:16:34,Cinema,177
2026-06-11 13:17:34,FoodCourt,328
2026-06-11 13:17:34,FashionArea,447
2026-06-11 13:17:34,Cinema,77
2026-06-11 13:18:34,FoodCourt,339
2026-06-11 13:18:34,FashionArea,55
2026-06-11 13:18:34,Cinema,320
2026-06-11 13:19:34,FoodCourt,390
2026-06-11 13:19:34,FashionArea,498
2026-06-11 13:19:34,Cinema,443
2026-06-11 13:20:34,FoodCourt,363
2026-06-11 13:20:34,FashionArea,482
2026-06-11 13:20:34,Cinema,93
2026-06-11 13:21:34,FoodCourt,253
2026-06-11 13:21:34,FashionArea,442
2026-06-11 13:21:34,Cinema,250
2026-06-11 13:22:34,FoodCourt,34
2026-06-11 13:22:34,FashionArea,340
2026-06-11 13:22:34,Cinema,158
2026-06-11 13:23:34,FoodCourt,275
2026-06-11 13:23:34,FashionArea,46
2026-06-11 13:23:34,Cinema,410
2026-06-11 13:24:34,FoodCourt,203
2026-06-11 13:24:34,FashionArea,226
2026-06-11 13:24:34,Cinema,67
2026-06-11 13:25:34,FoodCourt,344
2026-06-11 13:25:34,FashionArea,465
2026-06-11 13:25:34,Cinema,68
2026-06-11 13:26:34,FoodCourt,394
2026-06-11 13:26:34,FashionArea,273
2026-06-11 13:26:34,Cinema,125
2026-06-11 13:27:34,FoodCourt,398
2026-06-11 13:27:34,FashionArea,438
2026-06-11 13:27:34,Cinema,118
2026-06-11 13:28:34,FoodCourt,137
2026-06-11 13:28:34,FashionArea,66
2026-06-11 13:28:34,Cinema,275
2026-06-11 13:29:34,FoodCourt,471
2026-06-11 13:29:34,FashionArea,140
2026-06-11 13:29:34,Cinema,84
2026-06-11 13:30:34,FoodCourt,152
2026-06-11 13:30:34,FashionArea,268
2026-06-11 13:30:34,Cinema,161
2026-06-11 13:31:34,FoodCourt,165
2026-06-11 13:31:34,FashionArea,119
2026-06-11 13:31:34,Cinema,199
2026-06-11 13:32:34,FoodCourt,89
2026-06-11 13:32:34,FashionArea,439
2026-06-11 13:32:34,Cinema,109
2026-06-11 13:33:34,FoodCourt,162
2026-06-11 13:33:34,FashionArea,286
2026-06-11 13:33:34,Cinema,298
2026-06-11 13:34:34,FoodCourt,443
2026-06-11 13:34:34,FashionArea,19
2026-06-11 13:34:34,Cinema,340
2026-06-11 13:35:34,FoodCourt,242
2026-06-11 13:35:34,FashionArea,223
2026-06-11 13:35:34,Cinema,450
2026-06-11 13:36:34,FoodCourt,461
2026-06-11 13:36:34,FashionArea,11
2026-06-11 13:36:34,Cinema,273
2026-06-11 13:37:34,FoodCourt,403
2026-06-11 13:37:34,FashionArea,194
2026-06-11 13:37:34,Cinema,10
2026-06-11 13:38:34,FoodCourt,109
2026-06-11 13:38:34,FashionArea,149
2026-06-11 13:38:34,Cinema,128
2026-06-11 13:39:34,FoodCourt,218
2026-06-11 13:39:34,FashionArea,103
2026-06-11 13:39:34,Cinema,14
2026-06-11 13:40:34,FoodCourt,279
2026-06-11 13:40:34,FashionArea,371
2026-06-11 13:40:34,Cinema,15
2026-06-11 13:41:34,FoodCourt,467
2026-06-11 13:41:34,FashionArea,478
2026-06-11 13:41:34,Cinema,334
2026-06-11 13:42:34,FoodCourt,74
2026-06-11 13:42:34,FashionArea,380
2026-06-11 13:42:34,Cinema,238
2026-06-11 13:43:34,FoodCourt,181
2026-06-11 13:43:34,FashionArea,100
2026-06-11 13:43:34,Cinema,287
2026-06-11 13:44:34,FoodCourt,280
2026-06-11 13:44:34,FashionArea,400
2026-06-11 13:44:34,Cinema,123
2026-06-11 13:45:34,FoodCourt,220
2026-06-11 13:45:34,FashionArea,438
2026-06-11 13:45:34,Cinema,274
2026-06-11 13:46:34,FoodCourt,492
2026-06-11 13:46:34,FashionArea,228
2026-06-11 13:46:34,Cinema,243
2026-06-11 13:47:34,FoodCourt,281
2026-06-11 13:47:34,FashionArea,184
2026-06-11 13:47:34,Cinema,432
2026-06-11 13:48:34,FoodCourt,304
2026-06-11 13:48:34,FashionArea,460
2026-06-11 13:48:34,Cinema,132
2026-06-11 13:49:34,FoodCourt,200
2026-06-11 13:49:34,FashionArea,232
2026-06-11 13:49:34,Cinema,85
2026-06-11 13:50:34,FoodCourt,487
2026-06-11 13:50:34,FashionArea,242
2026-06-11 13:50:34,Cinema,474
2026-06-11 13:51:34,FoodCourt,23
2026-06-11 13:51:34,FashionArea,489
2026-06-11 13:51:34,Cinema,134
2026-06-11 13:52:34,FoodCourt,375
2026-06-11 13:52:34,FashionArea,484
2026-06-11 13:52:34,Cinema,402
2026-06-11 13:53:34,FoodCourt,93
2026-06-11 13:53:34,FashionArea,492
2026-06-11 13:53:34,Cinema,241
2026-06-11 13:54:34,FoodCourt,171
2026-06-11 13:54:34,FashionArea,268
2026-06-11 13:54:34,Cinema,338
2026-06-11 13:55:34,FoodCourt,454
2026-06-11 13:55:34,FashionArea,359
2026-06-11 13:55:34,Cinema,150
2026-06-11 13:56:34,FoodCourt,277
2026-06-11 13:56:34,FashionArea,465
2026-06-11 13:56:34,Cinema,212
2026-06-11 13:57:34,FoodCourt,353
2026-06-11 13:57:34,FashionArea,140
2026-06-11 13:57:34,Cinema,277
2026-06-11 13:58:34,FoodCourt,274
2026-06-11 13:58:34,FashionArea,314
2026-06-11 13:58:34,Cinema,236
2026-06-11 13:59:34,FoodCourt,122
2026-06-11 13:59:34,FashionArea,108
2026-06-11 13:59:34,Cinema,72
2026-06-11 14:00:34,FoodCourt,46
2026-06-11 14:00:34,FashionArea,459
2026-06-11 14:00:34,Cinema,379
2026-06-11 14:01:34,FoodCourt,125
2026-06-11 14:01:34,FashionArea,271
2026-06-11 14:01:34,Cinema,231
2026-06-11 14:02:34,FoodCourt,251
2026-06-11 14:02:34,FashionArea,34
2026-06-11 14:02:34,Cinema,490
2026-06-11 14:03:34,FoodCourt,238
2026-06-11 14:03:34,FashionArea,314
2026-06-11 14:03:34,Cinema,234
2026-06-11 14:04:34,FoodCourt,422
2026-06-11 14:04:34,FashionArea,52
2026-06-11 14:04:34,Cinema,58
2026-06-11 14:05:34,FoodCourt,380
2026-06-11 14:05:34,FashionArea,127
2026-06-11 14:05:34,Cinema,365
2026-06-11 14:06:34,FoodCourt,494
2026-06-11 14:06:34,FashionArea,458
2026-06-11 14:06:34,Cinema,199
2026-06-11 14:07:34,FoodCourt,70
2026-06-11 14:07:34,FashionArea,300
2026-06-11 14:07:34,Cinema,428
